iter	RMSE
0	13.47097489
1	12.17094679
2	11.1980669
3	10.23688924
4	9.545003785
5	8.850445594
6	8.335536856
7	7.874142605
8	7.515045757
9	7.203461462
10	6.946105417
11	6.726799406
12	6.558397749
13	6.393737359
14	6.248815759
15	6.14133419
16	6.079979344
17	5.994961484
18	5.915038204
19	5.841434638
20	5.817554772
21	5.779171942
22	5.746691326
23	5.721375784
24	5.703956637
25	5.655706134
26	5.622232749
27	5.592209371
28	5.565780208
29	5.533330767
30	5.514502127
31	5.501005132
32	5.483059991
33	5.469602956
34	5.46069989
35	5.447081931
36	5.434094076
37	5.423784925
38	5.399806454
39	5.386680596
40	5.377311514
41	5.37048302
42	5.359833826
43	5.348533548
44	5.338033268
45	5.329022124
46	5.323390876
47	5.318622455
48	5.308569876
49	5.295013749
50	5.283931293
51	5.272622422
52	5.2664615
53	5.250584412
