iter	Passed	Remaining
0	57	57581
1	57	28916
2	58	19385
3	58	14614
4	59	11762
5	59	9846
6	59	8470
7	60	7447
8	60	6664
9	60	6021
10	61	5490
11	61	5046
12	61	4672
13	62	4366
14	62	4093
15	62	3851
16	63	3642
17	63	3455
18	63	3281
19	63	3132
20	64	2997
21	64	2871
22	64	2758
23	65	2654
24	65	2558
25	65	2469
26	66	2388
27	66	2311
28	66	2241
29	67	2176
30	67	2113
31	67	2055
32	68	1999
33	68	1950
34	68	1902
35	69	1856
36	69	1812
37	69	1770
38	70	1730
39	70	1692
40	70	1655
41	71	1621
42	71	1590
43	71	1558
44	71	1527
45	72	1499
46	72	1472
47	72	1446
48	73	1420
49	73	1397
50	73	1373
51	74	1351
52	74	1331
53	74	1310
54	75	1290
55	75	1271
56	75	1252
57	75	1233
58	76	1216
59	76	1199
60	76	1184
61	77	1167
62	77	1151
63	77	1136
64	78	1122
65	78	1108
66	78	1095
67	78	1082
68	79	1069
69	79	1057
70	79	1044
71	80	1032
72	80	1021
73	80	1009
74	80	998
75	81	987
76	81	977
77	81	967
78	82	957
79	82	948
80	82	939
81	83	931
82	83	920
83	83	911
84	83	903
85	84	895
86	84	888
87	84	879
88	85	871
89	85	863
90	85	855
91	85	847
92	86	840
93	86	833
94	86	826
95	87	819
96	87	812
97	87	806
98	87	800
99	88	794
100	88	787
101	88	782
102	89	775
103	89	769
104	89	763
105	89	758
106	90	753
107	90	747
108	90	742
109	91	737
110	91	732
111	91	727
112	92	722
113	92	717
114	92	712
115	92	707
116	93	702
117	93	697
118	93	693
119	93	689
120	94	685
121	94	680
122	94	676
123	95	672
124	95	667
125	95	663
126	96	660
127	96	655
128	96	652
129	96	648
130	97	644
131	97	640
132	97	637
133	98	634
134	98	631
135	98	627
136	99	624
137	99	621
138	99	618
139	100	614
140	100	611
141	100	607
142	100	603
143	101	600
144	101	597
145	101	594
146	101	591
147	102	588
148	102	585
149	102	582
150	103	580
151	103	578
152	103	575
153	104	572
154	104	570
155	104	567
156	105	564
157	105	561
158	105	558
159	105	556
160	106	552
161	106	550
162	106	547
163	106	544
164	107	542
165	107	539
166	107	536
167	107	534
168	108	532
169	108	529
170	108	527
171	109	524
172	109	522
173	109	520
174	109	518
175	110	516
176	110	514
177	110	512
178	111	509
179	111	507
180	111	505
181	111	503
182	112	501
183	112	499
184	112	497
185	113	495
186	113	493
187	113	491
188	114	489
189	114	487
190	114	485
191	114	483
192	115	481
193	115	479
194	115	477
195	116	476
196	116	474
197	116	472
198	116	470
199	117	468
200	117	466
201	117	465
202	118	463
203	118	461
204	118	460
205	119	458
206	119	456
207	119	455
208	119	453
209	119	451
210	120	449
211	120	448
212	120	446
213	121	444
214	121	443
215	121	441
216	122	440
217	122	439
218	122	437
219	122	436
220	123	434
221	123	433
222	124	432
223	124	430
224	124	429
225	124	427
226	125	426
227	125	424
228	125	423
229	126	422
230	126	420
231	126	419
232	126	417
233	127	416
234	127	414
235	127	413
236	128	412
237	128	410
238	128	409
239	128	408
240	129	406
241	129	405
242	129	404
243	130	403
244	130	401
245	130	400
246	131	399
247	131	398
248	131	397
249	132	396
250	132	394
